
  x              y             z     Side   Disk    Ring   Module
0.0586466      16.4122      -174.4     1      9      3      9
-3.42512      15.7529      -174.4     1      9      3      11
-3.45092      13.3829      -174.4     1      9      3      11
-5.15607      13.6645      -174.4     1      9      3      11
-4.96412      13.2464      -175.2     1      9      3      12
-6.73494      16.0518      -175.2     1      9      3      12
-8.42749      14.1532      -174.4     1      9      3      13
-9.59809      14.7703      -174.4     1      9      3      13
-11.3348      12.7324      -175.2     1      9      3      14
-12.0759      12.5373      -175.2     1      9      3      14
-11.845      9.96889      -175.2     1      9      3      14
-11.6557      9.92697      -174.4     1      9      3      15
-13.3824      9.0668      -174.4     1      9      3      15
-13.3951      8.26323      -174.4     1      9      3      15
-15.6311      7.49498      -175.2     1      9      3      16
-14.7513      6.75205      -175.2     1      9      3      16
-15.4648      5.57743      -175.2     1      9      3      16
-15.466      5.50162      -174.4     1      9      3      17
-17.5201      3.71546      -174.4     1      9      3      17
-14.7593      2.53026      -174.4     1      9      3      17
-14.8255      2.55058      -175.2     1      9      3      18
-13.9209      -1.17338      -174.4     1      9      3      19
-16.9597      -1.70447      -174.4     1      9      3      19
-14.3175      -2.90251      -175.2     1      9      3      20
-15.2541      -3.43015      -175.2     1      9      3      20
-15.338      -3.465      -175.2     1      9      3      20
-16.1723      -4.47328      -175.2     1      9      3      20
-16.1598      -5.62021      -175.2     1      9      3      20
-15.1766      -5.38265      -175.2     1      9      3      20
-15.3558      -5.31373      -174.4     1      9      3      21
-15.3796      -6.21029      -174.4     1      9      3      21
-15.5731      -8.21094      -174.4     1      9      3      21
-11.1047      -8.30513      -175.2     1      9      3      22
-14.1753      -11.0938      -175.2     1      9      3      22
-11.6935      -9.9254      -175.2     1      9      3      22
-13.1988      -11.0571      -175.2     1      9      3      22
-13.1193      -11.0408      -174.4     1      9      3      23
-11.6341      -9.88351      -174.4     1      9      3      23
-12.4346      -11.3291      -174.4     1      9      3      23
-10.1565      -13.4872      -175.2     1      9      3      24
-9.86152      -14.207      -175.2     1      9      3      24
-7.33297      -13.7735      -174.4     1      9      3      25
-5.96401      -13.2299      -174.4     1      9      3      25
-2.37081      -15.3825      -175.2     1      9      3      26
-2.36745      -15.3139      -174.4     1      9      3      27
-2.31171      -15.8815      -174.4     1      9      3      27
-2.29508      -15.9117      -174.4     1      9      3      27
-0.14878      -15.7492      -174.4     1      9      3      27
0.112153      -17.3562      -174.4     1      9      3      27
-0.142561      -15.8249      -175.2     1      9      3      28
0.0986316      -17.4344      -175.2     1      9      3      28
2.95685      -16.9557      -175.2     1      9      3      28
2.98986      -16.9582      -175.2     1      9      3      28
3.07409      -16.2338      -174.4     1      9      3      29
3.29045      -14.9702      -174.4     1      9      3      29
4.50579      -13.2661      -174.4     1      9      3      29
4.5486      -13.3155      -175.2     1      9      3      30
7.52333      -16.3469      -175.2     1      9      3      30
8.71607      -15.2163      -175.2     1      9      3      30
8.65193      -15.1566      -174.4     1      9      3      31
10.6416      -12.2797      -174.4     1      9      3      31
10.7226      -12.2765      -175.2     1      9      3      32
10.2616      -10.7513      -175.2     1      9      3      32
10.4415      -9.3437      -175.2     1      9      3      32
11.7296      -10.4201      -175.2     1      9      3      32
10.4072      -9.26639      -174.4     1      9      3      33
12.3366      -9.86219      -174.4     1      9      3      33
13.4431      -10.5162      -174.4     1      9      3      33
14.0853      -10.1052      -174.4     1      9      3      33
13.6676      -8.93382      -174.4     1      9      3      33
14.5201      -8.84712      -174.4     1      9      3      33
12.5462      -6.18974      -175.2     1      9      3      34
15.6826      -7.59761      -175.2     1      9      3      34
16.1604      -6.62038      -175.2     1      9      3      34
14.5069      -5.58633      -175.2     1      9      3      34
13.7914      -4.77126      -174.4     1      9      3      35
15.1521      -5.04854      -174.4     1      9      3      35
14.636      -3.91903      -174.4     1      9      3      35
14.0566      -3.04564      -174.4     1      9      3      35
13.8524      -2.16272      -174.4     1      9      3      35
13.9124      -2.18963      -175.2     1      9      3      36
14.7825      -1.08968      -175.2     1      9      3      36
14.3464      -0.789629      -175.2     1      9      3      36
15.9639      0.00877309      -175.2     1      9      3      36
20.7901      2.90009      -174.8     1      9      4      1
21.3649      1.44879      -174.8     1      9      4      1
21.3771      1.42867      -174.8     1      9      4      1
21.3828      1.40316      -174.8     1      9      4      1
21.3904      1.38284      -174.8     1      9      4      1
20.9168      0.286671      -174.8     1      9      4      1
20.4754      5.11243      -175.6     1      9      4      2
16.9813      4.12498      -175.6     1      9      4      2
17.7088      3.13556      -175.6     1      9      4      2
20.7093      2.81251      -175.6     1      9      4      2
16.3033      6.73853      -174.8     1      9      4      3
20.2919      7.42751      -174.8     1      9      4      3
17.3404      5.67681      -174.8     1      9      4      3
18.2981      11.3885      -175.6     1      9      4      4
16.1727      9.52974      -175.6     1      9      4      4
13.7554      11.0607      -174.8     1      9      4      5
14.3801      10.8444      -174.8     1      9      4      5
16.6442      11.1778      -174.8     1      9      4      5
14.9292      14.8601      -175.6     1      9      4      6
9.8347      15.9238      -174.8     1      9      4      7
11.5943      15.507      -174.8     1      9      4      7
10.092      15.9455      -175.6     1      9      4      8
9.64773      14.942      -175.6     1      9      4      8
3.8457      18.4013      -175.6     1      9      4      10
1.17262      20.3817      -174.8     1      9      4      11
1.52082      21.4508      -174.8     1      9      4      11
1.95105      19.513      -174.8     1      9      4      11
-2.23143      18.8707      -175.6     1      9      4      12
-2.26358      19.3933      -175.6     1      9      4      12
